Storm Fuselage
0.288 -0.0218
0.267 -0.0209
0.248 -0.0198
0.218 -0.0178
0.169 -0.0137
0.135 -0.0107
0.111 -0.0086
0.075 -0.0056
0.056 -0.00422
0.034 -0.00275
0.022 -0.00215
0.0032 -0.0015
-0.0039 -0.0015
-0.017 -0.00185
-0.0292 -0.00274
-0.039 -0.0039
-0.0443 -0.0048
-0.054 -0.00687
-0.0624 -0.009
-0.0694 -0.0113
-0.078 -0.0147
-0.0875 -0.019
-0.0963 -0.0237
-0.0879 -0.0275
-0.0793 -0.0308
-0.0694 -0.034
-0.0571 -0.0369
-0.0466 -0.0388
-0.0367 -0.040
-0.0241 -0.0411
-0.0129 -0.0416
-0.0039 -0.0418
0.00497 -0.0418
0.0137 -0.04185
0.0253 -0.0417
0.0421 -0.0414
0.0603 -0.04106
0.0757 -0.0407
0.0894 -0.0404
0.1058 -0.040
0.118 -0.0396
0.145 -0.0385
0.166 -0.0373
0.180 -0.0362
0.198 -0.0346
0.213 -0.0331
0.231 -0.0308
0.248 -0.0285
0.258 -0.0269
0.269 -0.0250
0.288 -0.0218
